ticker,accession_number,filing_date,sector,drift_score_mda,drift_score_risk_factors,forward_return
ABBV,0001551152-23-000023,2023-05-05,Healthcare,0.03158134398411261,,0.020002941426166643
ABBV,0001551152-23-000033,2023-08-07,Healthcare,0.020808394920176942,,0.01290495854304906
ABBV,0001551152-23-000045,2023-11-06,Healthcare,0.011957420762669368,,-0.018130294716168685
ABBV,0001551152-24-000020,2024-05-03,Healthcare,0.033620049344062264,,-0.018560311439918667
ABBV,0001551152-24-000031,2024-08-07,Healthcare,0.019206431785423472,,0.029278468636315367
ABBV,0001551152-24-000040,2024-11-04,Healthcare,0.024042478675300516,,-0.12989478917722802
ABBV,0001551152-25-000029,2025-05-09,Healthcare,0.040124768794104426,,-0.00314193830919728
ABBV,0001551152-25-000040,2025-08-04,Healthcare,0.028298567092620797,,0.007353298495308072
ABBV,0001551152-25-000049,2025-11-04,Healthcare,0.01938131157666323,,0.04298484786480496
ABBV,0001551152-26-000017,2026-05-08,Healthcare,0.030186925535826137,,0.043860065512479916
ABBV,0001551152-26-000026,2026-08-03,Healthcare,0.017436561722103394,,0.011709486110642467
ADBE,0000796343-23-000055,2023-03-29,Technology,0.012678659581234597,0.006824416593628868,0.039045250178464316
ADBE,0000796343-23-000153,2023-06-28,Technology,0.0063747574823999065,0.0008652494659829868,0.039045250178464316
ADBE,0000796343-23-000205,2023-09-27,Technology,0.004997052686272596,0.0005863236863670185,0.03147627659077731
ADBE,0000796343-24-000065,2024-03-27,Technology,0.009486169657631494,0.009488049665992815,-0.034278367871015916
ADBE,0000796343-24-000150,2024-06-26,Technology,0.008307214119196438,0.00013286160865011443,0.078481544616937
ADBE,0000796343-24-000208,2024-09-25,Technology,0.00637701134234403,0.00012094597890055514,-0.02334432571063704
ADBE,0000796343-25-000059,2025-03-26,Technology,0.013693886166312619,0.004951833888319768,-0.030240564221931016
ADBE,0000796343-25-000073,2025-06-25,Technology,0.006499323017953862,0.0006467152272497945,-0.02342920102765221
ADBE,0000796343-25-000107,2025-09-24,Technology,0.007175748288661632,0.0005316666316771412,-0.027033113737264438
ADBE,0000796343-26-000056,2026-03-25,Technology,0.022136234868188054,0.006682198090102398,0.017365627469704954
ADBE,0000796343-26-000112,2026-06-15,Technology,0.00823930241356896,0.001103190882820515,-0.04327392861096144
CAT,0000018230-23-000022,2023-05-03,Industrials,0.01134240147166754,0.007908491460624001,0.036080416704522826
CAT,0000018230-23-000047,2023-08-02,Industrials,0.007742225674924219,0.0,-0.010571368597193237
CAT,0000018230-23-000056,2023-11-01,Industrials,0.005367921190473024,0.0,0.012897405295036052
CAT,0000018230-24-000020,2024-05-01,Industrials,0.010164475223769842,0.0019197980150966742,0.04056541631277756
CAT,0000018230-24-000045,2024-08-07,Industrials,0.0072257900953827114,-4.440892098500626e-16,0.036187872887257125
CAT,0000018230-24-000053,2024-11-06,Industrials,0.0038240829169716717,-4.440892098500626e-16,-0.07150738152330793
CAT,0000018230-25-000016,2025-05-07,Industrials,0.009140068468721063,0.002053127099129304,0.09169813086151343
CAT,0000018230-25-000040,2025-08-06,Industrials,0.006997884945774024,-2.220446049250313e-16,-0.03277842741433448
